Study_Hours,Attendance,Assignment_Score,Internal_Marks,Result
8.2,64.9,44.2,68.3,0
2.3,97.0,51.1,66.4,0
3.1,63.0,79.9,59.9,0
7.5,71.5,92.9,89.5,1
7.5,93.6,88.8,44.4,1
6.8,92.1,81.1,67.9,1
7.2,59.3,46.6,39.0,0
5.9,90.1,57.4,39.6,0
3.3,72.9,58.6,72.3,0
4.1,74.1,55.0,71.8,0
2.6,56.7,70.9,92.1,0
9.2,54.0,72.1,71.3,1
6.3,86.4,61.4,97.4,1
4.6,74.8,61.2,38.2,0
5.2,71.8,89.7,41.4,0
9.5,86.5,87.4,37.9,1
2.4,88.3,58.5,47.0,0
6.3,57.9,94.8,70.2,1
5.6,80.5,97.2,77.0,1
6.5,56.8,59.6,38.0,0
1.2,87.6,61.3,96.5,0
8.8,82.8,70.3,89.7,1
9.4,97.8,96.5,54.3,1
6.1,53.4,92.6,40.0,1
7.3,52.9,46.2,46.0,0
9.3,64.1,63.6,43.3,1
7.4,63.1,73.2,43.0,0
2.4,62.3,70.2,68.7,0
6.2,95.3,51.6,51.0,0
6.5,62.5,91.5,58.3,1
4.8,63.6,80.6,99.3,1
7.6,88.0,90.3,79.5,1
9.4,72.5,91.5,96.7,1
9.3,88.8,84.9,44.3,1
5.1,53.3,66.4,59.8,0
2.0,74.4,76.6,71.1,0
9.9,51.7,49.6,40.0,0
8.6,53.1,80.4,35.3,1
2.1,95.3,50.8,78.6,0
9.3,57.0,81.6,76.7,1
8.8,76.6,53.8,61.7,1
5.7,70.6,47.1,66.8,1
6.3,67.4,49.9,62.0,0
4.6,95.0,40.1,36.6,0
1.5,51.1,83.1,56.8,0
4.0,83.2,83.9,46.5,0
8.2,98.2,70.9,41.4,1
1.0,78.0,49.7,97.2,0
4.0,96.8,45.0,74.0,0
4.6,52.6,41.1,82.4,0
5.8,70.9,49.9,55.5,1
9.3,63.0,93.5,60.6,1
4.1,86.5,54.5,50.4,0
4.1,99.1,61.3,41.3,0
7.6,62.8,46.3,46.6,0
5.1,82.7,53.3,86.8,0
3.0,59.9,71.2,79.0,0
5.1,78.3,76.5,70.6,0
2.3,73.2,54.7,65.9,0
2.6,98.6,43.5,95.0,1
5.5,80.4,63.5,39.7,0
4.8,67.5,54.1,53.2,0
9.2,55.7,53.2,57.7,1
4.3,57.6,97.6,85.9,1
6.2,61.3,77.0,99.5,1
6.7,62.5,73.4,50.6,0
1.1,92.5,64.9,91.8,1
7.0,78.1,65.7,89.0,1
2.6,76.2,72.5,49.6,0
9.6,55.7,81.8,61.0,1
2.3,93.0,82.1,61.6,0
4.7,86.1,50.3,98.6,1
1.8,53.4,70.0,46.8,0
10.0,85.4,64.7,86.9,0
5.5,77.2,92.2,56.7,1
6.4,54.1,77.9,82.5,0
1.6,72.9,72.0,62.3,0
7.7,74.2,46.9,72.6,0
2.9,58.3,76.3,89.1,0
9.1,97.3,47.0,87.3,1
2.8,92.5,60.2,91.3,0
2.7,83.5,48.6,38.9,0
1.3,73.1,81.5,80.0,0
5.2,70.6,52.4,44.1,0
6.1,82.5,63.5,62.0,0
1.6,77.3,93.7,70.7,0
8.0,53.1,52.3,61.2,0
5.1,75.6,70.5,68.8,0
5.7,90.3,65.2,99.8,1
5.0,73.0,41.1,43.8,0
4.6,52.6,87.6,78.9,0
6.0,89.3,44.1,60.7,0
2.4,60.1,68.5,43.6,0
2.6,62.9,73.6,45.3,0
8.8,58.2,77.7,96.7,1
9.5,66.5,81.3,92.2,1
4.4,87.8,55.2,94.0,1
3.4,76.0,40.6,99.4,0
6.8,60.2,83.4,48.5,1
4.7,93.9,72.1,58.1,0
1.2,94.0,90.2,78.5,0
2.4,93.5,89.3,66.4,0
7.4,61.9,90.6,62.2,1
6.9,72.6,69.1,58.3,0
1.2,99.2,60.0,73.6,0
3.0,88.6,87.5,72.4,1
3.1,51.4,67.1,45.5,0
7.0,53.3,51.0,65.7,0
1.2,73.2,91.3,71.0,0
1.9,95.5,93.0,72.1,0
8.2,76.9,68.0,48.7,1
2.6,74.9,44.5,83.2,0
6.9,55.3,63.3,36.6,0
3.1,82.8,88.2,58.1,0
1.9,91.1,94.1,85.7,1
3.2,69.0,52.2,71.7,0
7.5,88.8,44.0,52.0,1
8.7,98.2,92.6,80.2,1
8.5,60.2,63.4,71.9,1
4.6,76.2,72.5,86.8,0
7.0,64.4,98.1,82.8,1
2.8,89.6,44.0,74.7,0
3.6,78.9,78.9,66.7,0
9.1,81.7,44.4,43.7,1
1.1,89.9,62.5,52.0,0
1.8,69.8,88.2,62.2,0
2.9,95.8,66.0,74.0,0
1.2,76.7,99.8,68.4,0
2.6,57.9,73.5,53.7,0
6.2,84.8,59.3,35.4,0
4.8,89.7,53.2,67.3,1
9.0,65.8,61.0,53.6,1
8.4,92.9,62.4,82.7,1
4.1,95.3,44.1,36.6,0
3.3,63.8,62.2,73.0,0
4.4,99.2,67.9,96.2,1
6.3,57.0,83.4,46.3,0
3.4,60.1,79.4,65.7,0
6.6,59.2,82.5,40.9,0
4.7,94.7,40.5,75.7,0
6.0,82.7,53.1,70.8,1
4.9,57.6,79.7,61.5,0
3.7,72.0,69.0,68.9,0
9.5,80.8,40.3,93.3,1
7.9,54.2,88.3,47.8,1
2.3,94.1,86.4,36.5,0
8.8,90.2,72.9,91.0,1
5.4,75.3,44.0,72.5,0
9.1,98.4,86.0,92.9,1
8.2,70.9,75.0,73.8,1
4.8,99.2,86.9,87.7,1
1.2,83.4,85.1,62.9,0
3.4,81.7,88.2,83.7,1
5.9,58.3,71.1,94.3,1
6.7,94.1,48.4,72.2,1
3.3,71.4,80.3,46.8,0
2.3,58.1,77.2,52.5,0
8.5,50.6,84.5,47.9,1
9.9,78.0,50.2,51.0,1
5.7,76.4,51.7,54.9,0
2.5,86.0,93.4,71.1,0
3.5,94.5,85.0,73.2,0
1.2,54.0,94.5,62.7,0
9.2,86.6,85.5,75.0,0
2.1,59.4,75.8,40.3,0
6.2,92.9,79.2,40.7,0
3.5,91.0,93.3,46.2,1
6.0,77.0,74.7,68.7,1
6.9,85.5,77.9,48.9,0
8.5,65.7,49.4,53.4,0
2.9,73.6,68.4,61.0,0
1.1,91.1,83.0,87.8,0
2.2,73.0,56.3,35.9,0
9.1,67.9,52.1,77.2,1
8.9,74.7,58.8,78.5,1
6.4,91.4,54.5,86.9,1
6.4,66.8,52.9,95.6,0
7.0,58.7,65.5,36.3,0
2.6,85.6,94.5,45.0,0
9.2,91.3,70.4,92.6,1
4.8,55.0,51.3,64.8,0
4.4,62.0,44.6,71.7,0
5.7,57.1,81.8,78.1,1
1.4,67.4,63.0,79.1,0
2.5,72.5,89.3,95.6,1
7.6,87.4,79.6,99.8,1
1.7,82.6,87.8,81.8,0
6.4,81.0,56.3,53.7,0
3.2,67.6,81.5,92.2,1
4.5,92.1,55.8,38.2,0
3.6,73.6,96.3,50.0,0
4.2,99.0,78.2,93.3,1
7.5,81.7,59.5,51.7,0
3.7,56.3,56.2,49.3,0
6.1,83.8,51.5,44.0,0
5.3,66.3,81.7,90.8,1
7.0,84.3,53.1,67.5,0
9.4,53.5,75.7,78.9,1
7.6,58.7,55.9,50.5,0
2.9,92.8,79.7,84.3,1
1.3,61.4,88.9,84.4,0
3.4,91.9,86.7,55.3,1
6.4,64.0,85.7,61.7,0
1.5,82.1,51.3,48.6,0
5.5,84.7,45.3,98.5,0
6.4,75.6,81.9,77.0,1
4.0,65.3,62.1,95.7,1
7.9,60.6,65.9,54.7,1
2.0,51.7,41.9,85.8,0
1.7,65.2,55.6,84.8,0
7.6,82.7,42.0,80.0,1
5.5,96.9,92.8,97.8,1
7.2,93.6,54.6,60.6,0
4.9,88.3,73.4,43.5,1
3.2,89.4,42.3,78.7,0
8.4,83.2,80.0,82.4,1
8.2,63.0,59.4,72.4,0
7.3,95.4,93.9,48.4,0
3.4,83.5,93.3,67.8,1
6.3,78.0,59.5,55.3,0
4.2,55.5,94.1,62.8,0
1.8,72.4,99.8,76.9,0
9.3,73.0,89.5,83.4,1
2.2,93.2,90.7,50.1,0
9.6,77.3,54.9,61.3,1
5.0,69.0,74.6,52.5,0
2.7,98.8,44.0,47.9,0
5.9,55.5,45.7,85.9,0
8.9,71.1,99.9,94.1,1
7.6,52.1,59.6,59.1,0
8.3,87.0,84.9,83.8,1
6.9,95.9,88.4,93.3,1
7.2,64.0,91.5,90.0,1
8.6,92.9,99.9,46.9,1
3.2,64.6,54.5,97.2,0
5.4,95.5,42.4,59.5,0
3.0,87.7,64.7,57.1,0
9.9,90.2,47.8,39.1,1
9.5,50.9,41.3,66.6,1
1.4,98.1,61.6,42.1,0
7.4,86.3,87.0,51.2,0
9.3,65.2,74.0,55.6,1
2.6,91.5,58.8,87.6,0
6.1,64.1,79.3,91.9,0
9.2,93.6,53.9,54.7,1
1.3,55.6,40.9,90.8,0
7.3,85.2,85.9,90.7,1
3.7,77.0,77.4,84.7,0
9.3,54.8,85.7,44.5,1
9.7,62.1,42.3,79.9,0
9.5,50.6,90.2,96.4,1
5.3,73.4,77.2,79.4,0
8.8,65.1,73.8,56.6,1
8.6,79.9,77.5,67.5,1
3.9,64.9,91.9,77.0,1
8.5,65.0,75.2,68.2,1
1.3,87.2,74.9,42.8,0
6.4,52.4,99.4,55.3,0
3.1,95.1,85.4,87.2,1
2.1,92.6,66.5,91.0,0
1.7,83.4,82.4,43.9,0
7.3,79.7,63.4,96.9,1
4.1,94.6,53.7,56.4,0
7.5,59.3,75.8,78.1,1
1.6,53.9,95.7,83.9,0
3.8,62.0,95.7,87.8,1
5.9,89.7,60.5,96.5,1
8.1,51.7,71.7,55.3,0
3.9,79.1,52.7,90.8,1
6.6,99.8,99.7,43.6,1
9.0,92.8,98.9,80.8,1
6.5,76.1,79.0,83.2,1
3.1,53.2,88.3,79.1,0
1.2,91.6,82.9,51.4,0
8.8,79.9,75.6,91.7,1
1.2,55.7,43.2,46.0,0
8.9,54.7,67.3,38.5,1
5.8,95.5,80.5,81.6,1
9.5,83.5,80.7,65.9,1
8.2,91.5,62.4,90.2,1
10.0,93.9,96.5,59.9,1
4.2,78.6,50.0,45.9,0
7.9,75.9,70.0,89.4,1
4.6,71.5,81.5,70.7,1
5.3,65.8,81.8,47.3,0
6.6,71.7,78.9,81.8,1
8.9,88.7,56.5,68.2,1
9.9,80.1,49.4,74.3,1
7.9,94.6,78.2,65.0,0
4.8,72.2,76.0,88.9,1
4.8,80.4,50.8,88.9,1
7.6,81.6,82.3,81.1,1
3.1,79.6,67.3,41.9,0
2.0,85.1,80.1,89.5,1
4.2,61.9,90.2,78.6,1
3.6,75.6,50.2,80.3,0
3.7,55.2,41.1,58.6,0
3.1,69.2,86.7,92.2,0
1.4,74.4,76.6,82.1,0
1.2,82.6,82.0,42.3,0
9.9,97.5,90.3,61.5,1
4.8,80.0,88.2,92.6,0
4.5,87.2,97.7,38.1,0
7.1,75.3,72.2,97.5,0
3.0,81.7,69.3,79.1,0
9.5,53.5,64.1,76.0,1
8.1,62.7,49.2,52.6,0
1.8,68.1,74.4,51.2,0
4.8,73.6,56.6,96.2,1
8.9,52.3,95.3,54.4,1
9.5,57.0,75.0,85.4,1
5.2,63.8,75.6,60.6,0
6.5,98.6,61.3,44.1,0
2.5,66.6,43.1,35.7,0
9.9,74.1,41.9,70.4,0
3.1,59.8,65.4,98.4,0
9.5,80.5,45.1,59.0,0
6.8,64.0,76.4,58.2,1
6.5,60.3,92.9,57.4,1
5.6,75.8,93.0,68.8,1
3.1,50.3,79.5,63.6,0
2.6,50.4,52.7,92.2,0
3.0,61.0,91.8,67.9,0
2.7,51.8,93.2,68.0,0
8.0,55.4,51.8,44.0,0
4.2,66.9,84.2,98.9,1
1.5,90.1,57.2,51.2,0
9.7,78.6,88.2,39.8,1
9.0,75.6,99.8,78.1,1
9.3,64.7,41.8,73.7,0
10.0,96.6,93.8,62.0,1
2.6,69.9,77.4,62.4,0
4.6,54.4,98.4,86.0,0
7.8,80.9,67.9,47.7,1
7.3,55.7,90.8,88.3,0
2.4,67.3,43.7,77.2,0
8.3,75.4,60.1,62.2,1
3.0,93.7,44.0,64.8,0
3.0,74.7,98.5,51.7,0
5.8,85.1,89.0,83.9,1
6.3,99.6,91.2,68.3,1
6.2,56.6,96.3,55.9,0
1.8,63.7,45.1,73.7,0
8.9,69.7,63.1,99.7,1
3.4,71.1,44.3,63.3,0
2.2,70.6,52.6,94.8,0
9.0,95.4,53.8,57.4,1
9.6,85.7,68.1,38.6,1
8.8,80.4,56.1,48.3,0
8.3,65.5,46.1,62.2,1
6.9,91.2,50.0,49.3,1
6.0,97.8,48.8,35.0,0
1.8,91.1,98.4,94.5,0
4.7,50.1,85.6,89.9,0
4.4,81.8,98.1,83.2,1
3.3,52.6,66.4,45.9,0
7.5,62.9,56.7,42.8,1
5.5,53.0,87.9,39.4,1
1.7,80.2,59.6,82.1,1
3.0,84.3,58.0,95.4,0
7.1,55.7,54.0,63.0,0
1.7,69.2,47.8,42.7,0
8.7,72.8,55.4,68.3,1
5.5,68.5,61.3,57.7,0
5.3,56.1,80.4,59.4,0
6.3,70.9,43.8,75.4,0
8.4,87.6,52.6,81.7,0
4.1,53.6,88.5,42.2,0
7.1,54.0,48.8,37.3,0
6.1,67.7,60.6,99.6,0
3.4,97.1,91.9,50.1,1
8.9,83.4,49.3,38.5,1
8.2,83.9,45.0,47.3,0
6.9,68.1,69.1,37.5,0
8.7,79.7,58.1,60.5,1
8.8,50.5,73.8,87.2,1
7.4,81.8,88.2,57.2,1
8.5,95.7,48.2,63.9,0
7.3,80.6,74.8,78.9,1
7.1,93.7,70.3,68.1,1
6.6,86.2,48.6,91.0,1
7.8,56.0,77.4,91.3,1
2.4,95.1,56.4,35.6,0
8.9,53.3,69.3,85.6,1
8.8,76.7,44.9,64.9,0
1.3,57.1,67.6,99.3,0
8.4,50.6,58.4,66.4,0
2.2,71.1,89.3,99.1,1
4.0,64.8,43.4,84.0,0
7.7,74.3,65.1,51.2,1
2.4,78.9,67.5,70.0,0
8.4,52.2,83.5,99.5,1
8.5,56.2,74.5,90.7,1
5.6,77.9,80.0,41.3,0
1.1,67.2,86.6,80.9,0
3.6,86.5,91.7,57.5,1
6.6,82.6,58.8,35.5,0
9.8,92.3,72.3,61.2,1
6.7,84.6,90.4,50.3,1
3.3,71.5,99.4,88.2,0
6.7,83.6,93.4,56.9,1
5.9,63.8,62.3,88.8,1
8.0,65.3,51.7,35.0,0
2.0,89.4,69.4,55.0,0
7.8,72.3,84.5,50.7,0
5.9,89.9,69.6,50.2,1
9.7,91.1,69.0,39.4,1
4.1,92.9,90.3,47.2,1
6.7,95.8,61.7,71.1,1
9.4,71.5,91.6,53.9,1
1.9,65.9,64.4,62.1,0
9.4,79.1,59.7,59.5,0
7.2,68.6,67.2,91.9,0
1.6,80.1,85.7,93.8,0
3.7,85.3,47.6,67.0,0
7.4,84.4,51.8,56.5,1
1.6,68.7,97.1,41.9,0
6.2,58.3,50.5,97.0,0
4.1,71.5,74.1,38.9,0
6.6,57.1,74.8,54.3,1
1.4,94.5,69.4,54.4,0
8.8,67.3,78.7,55.8,1
9.8,57.7,53.8,45.7,1
9.7,51.3,73.2,85.9,1
7.7,82.3,62.3,43.0,0
2.2,81.8,79.7,76.3,0
